chr	start	end	R4	R5	R6	R7	R1	R2	R3	R8	R9	R10
10	64000000	64999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	65000000	65999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	66000000	66999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	67000000	67999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	68000000	68999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	69000000	69999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	70000000	70999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	71000000	71999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	72000000	72999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	73000000	73999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	74000000	74999999	B73	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	75000000	75999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	76000000	76999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	77000000	77999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	78000000	78999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	79000000	79999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	80000000	80999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	81000000	81999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	82000000	82999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	Oh43
10	83000000	83999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	B73
10	84000000	84999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	B73
10	85000000	85999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	B73
10	86000000	86999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	B73
10	87000000	87999999	B73	B73	B73	B73	B73	B73	Oh43	Oh43	B73	B73
10	88000000	88999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	89000000	89999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	90000000	90999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	91000000	91999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	92000000	92999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	93000000	93999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	94000000	94999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	95000000	95999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	96000000	96999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	97000000	97999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	98000000	98999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	99000000	99999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	100000000	100999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	101000000	101999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	102000000	102999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	103000000	103999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	104000000	104999999	B73	B73	B73	Oh43	B73	B73	Oh43	Oh43	Oh43	B73
10	105000000	105999999	Oh43	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	106000000	106999999	Oh43	B73	Oh43	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	107000000	107999999	Oh43	B73	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73
10	108000000	108999999	Oh43	Oh43	B73	Oh43	B73	B73	B73	B73	B73	B73
10	109000000	109999999	Oh43	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73	B73
10	110000000	110999999	Oh43	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73	B73
10	111000000	111999999	Oh43	Oh43	B73	Oh43	B73	B73	B73	B73	B73	B73
10	112000000	112999999	Oh43	Oh43	B73	B73	B73	B73	B73	B73	B73	B73
10	113000000	113999999	Oh43	Oh43	B73	B73	B73	B73	B73	B73	B73	B73
10	114000000	114999999	Oh43	Oh43	Oh43	B73	B73	B73	B73	B73	B73	B73
10	115000000	115999999	Oh43	Oh43	Oh43	B73	B73	B73	B73	B73	B73	B73
10	116000000	116999999	Oh43	Oh43	Oh43	B73	B73	B73	B73	B73	B73	B73
10	117000000	117999999	Oh43	Oh43	Oh43	B73	Oh43	B73	B73	B73	B73	Oh43
10	118000000	118999999	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73	B73	Oh43
10	119000000	119999999	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73	B73	B73
10	120000000	120999999	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73	B73	B73
10	121000000	121999999	Oh43	B73	B73	B73	Oh43	Oh43	B73	B73	Oh43	B73
10	122000000	122999999	Oh43	B73	B73	B73	Oh43	B73	B73	B73	Oh43	B73
10	123000000	123999999	Oh43	B73	B73	Oh43	Oh43	B73	B73	B73	Oh43	B73
10	124000000	124999999	Oh43	B73	B73	Oh43	Oh43	B73	B73	B73	Oh43	B73
10	125000000	125999999	Oh43	B73	B73	Oh43	Oh43	B73	B73	Oh43	Oh43	B73
10	126000000	126999999	Oh43	B73	B73	Oh43	Oh43	B73	B73	Oh43	Oh43	B73
10	127000000	127999999	Oh43	B73	B73	Oh43	Oh43	B73	B73	Oh43	Oh43	B73
10	128000000	128999999	Oh43	B73	B73	Oh43	B73	B73	B73	B73	Oh43	B73
10	129000000	129999999	Oh43	Oh43	B73	Oh43	B73	B73	Oh43	B73	Oh43	B73
10	130000000	130999999	Oh43	Oh43	B73	Oh43	B73	B73	Oh43	B73	Oh43	B73
10	131000000	131999999	Oh43	Oh43	B73	Oh43	B73	B73	Oh43	B73	Oh43	Oh43
10	132000000	132999999	B73	Oh43	B73	Oh43	Oh43	B73	Oh43	B73	Oh43	Oh43
10	133000000	133999999	Oh43	Oh43	B73	Oh43	Oh43	B73	Oh43	B73	Oh43	Oh43
10	134000000	134999999	Oh43	Oh43	B73	Oh43	Oh43	B73	Oh43	B73	Oh43	Oh43
10	135000000	135999999	Oh43	Oh43	B73	Oh43	Oh43	B73	Oh43	B73	B73	Oh43
10	136000000	136999999	Oh43	Oh43	B73	B73	Oh43	B73	Oh43	B73	B73	Oh43
10	137000000	137999999	Oh43	B73	B73	B73	Oh43	B73	Oh43	B73	B73	Oh43
10	138000000	138999999	Oh43	B73	Oh43	B73	Oh43	B73	Oh43	B73	B73	B73
10	139000000	139999999	Oh43	B73	B73	B73	Oh43	B73	Oh43	B73	B73	B73
10	140000000	140999999	Oh43	B73	B73	B73	Oh43	B73	Oh43	B73	B73	B73
10	141000000	141999999	Oh43	B73	B73	B73	Oh43	B73	Oh43	B73	B73	B73
10	142000000	142999999	Oh43	Oh43	B73	B73	Oh43	B73	Oh43	B73	B73	B73
10	143000000	143999999	B73	Oh43	B73	B73	Oh43	B73	Oh43	B73	B73	B73
10	144000000	144999999	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73	B73	B73
10	145000000	145999999	B73	Oh43	B73	B73	Oh43	Oh43	B73	B73	B73	B73
10	146000000	146999999	B73	Oh43	B73	B73	B73	Oh43	B73	B73	B73	B73
10	147000000	147999999	B73	Oh43	B73	B73	B73	Oh43	B73	Oh43	Oh43	Oh43
10	148000000	148999999	Oh43	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
10	149000000	149999999	Oh43	B73	B73	B73	B73	Oh43	Oh43	Oh43	B73	Oh43
