line	start	end	donor1	donor2
10	275461	9994843	OH43_inra	OH43_inra
10	9994843	125868209	A632_usa	A632_usa
10	128332307	128580596	ND245	ND245
10	133533303	133908327	B96	B96
1	275461	17969501	VA85	VA85
1	17969501	123466963	DK63	DK63
1	135352346	135650556	F492	F492
1	135936558	139148371	A632_usa	A632_usa
1	143897115	144038971	F492	F492
1	146021391	146117699	D105_inra	D105_inra
1	148415791	149602124	B73_inra	B73_inra
